종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
"395280","HANARO Fn K-게임","2021/07/30","주식-업종섹터-업종테마","엔에이치아문디자산운용","5.27","FnGuide K-게임 지수","0.64","11512223480","-0.40","매우높음","실물(패시브)","0.450000","비과세"
"368190","HANARO Fn K-뉴딜디지털플러스","2020/11/10","주식-업종섹터-업종테마","엔에이치아문디자산운용","12.85","FnGuide K-뉴딜 디지털 플러스 지수","0.31","33577336269","-0.58","매우높음","실물(패시브)","0.450000","비과세"
"402460","HANARO Fn K-메타버스MZ","2021/10/13","주식-업종섹터-업종테마","엔에이치아문디자산운용","48.28","FnGuide K-메타버스 MZ 지수(시장가격)","0.46","6685822450","0.33","매우높음","실물(패시브)","0.450000","비과세"
"395270","HANARO Fn K-반도체","2021/07/30","주식-업종섹터-업종테마","엔에이치아문디자산운용","255.30","FnGuide K-반도체 지수","0.40","1674773905930","-0.24","매우높음","실물(패시브)","0.450000","비과세"
"438900","HANARO Fn K-푸드","2022/08/17","주식-업종섹터-업종테마","엔에이치아문디자산운용","-0.13","FnGuide K-푸드 지수 (시장가격)","0.55","16868406351","-0.12","높음","실물(패시브)","0.450000","비과세"
"367740","HANARO Fn5G산업","2020/10/29","주식-업종섹터-업종테마","엔에이치아문디자산운용","144.24","FnGuide 5G 산업 지수","0.72","17114548621","-0.20","매우높음","실물(패시브)","0.450000","비과세"
"407300","HANARO Fn골프테마","2021/11/24","주식-업종섹터-업종테마","엔에이치아문디자산운용","90.02","FnGuide 골프 테마 지수","1.02","6322852889","-0.57","매우높음","실물(패시브)","0.450000","비과세"
"381560","HANARO Fn전기&수소차","2021/04/02","주식-업종섹터-업종테마","엔에이치아문디자산운용","89.04","FnGuide 전기&수소차 지수 (시장가격)","0.55","15137054755","0.28","매우높음","실물(패시브)","0.450000","비과세"
"441540","HANARO Fn조선해운","2022/09/15","주식-업종섹터-업종테마","엔에이치아문디자산운용","65.53","FnGuide 조선해운지수","1.40","104634810360","-0.12","매우높음","실물(패시브)","0.450000","비과세"
"381570","HANARO Fn친환경에너지","2021/04/02","주식-업종섹터-업종테마","엔에이치아문디자산운용","81.80","FnGuide 친환경에너지 지수 (시장가격)","0.55","8735972636","-0.11","매우높음","실물(패시브)","0.450000","비과세"
"479850","HANARO K-뷰티","2024/04/16","주식-업종섹터-업종테마","엔에이치아문디자산운용","31.90","FnGuide K-뷰티 지수","0.49","44542362568","0.26","매우높음","실물(패시브)","0.450000","비과세"
"304760","HANARO KRX300","2018/08/14","주식-시장대표","엔에이치아문디자산운용","146.40","KRX 300","0.50","16019530359","0.32","매우높음","실물(패시브)","0.050000","비과세"
"322410","HANARO K고배당","2019/04/23","주식-전략-배당","엔에이치아문디자산운용","64.78","FnGuide 고배당 알파 지수","1.46","45006860913","-0.15","높음","실물(패시브)","0.070000","비과세"
"0155N0","HANARO K휴머노이드테마TOP10","2026/02/26","주식-업종섹터-업종테마","엔에이치아문디자산운용","0.00","iSelect K휴머노이드테마TOP10 지수","0.65","29246649718","-0.30","매우높음","실물(패시브)","0.450000","비과세"
"332940","HANARO MSCI Korea TR","2019/08/28","주식-시장대표","엔에이치아문디자산운용","168.21","MSCI Korea TR Index","0.13","93983613120","0.31","매우높음","실물(패시브)","0.120000","배당소득세(보유기간과세)"
"322400","HANARO e커머스","2019/04/23","주식-업종섹터-업종테마","엔에이치아문디자산운용","19.73","FnGuide E커머스 지수","0.51","48163526985","-0.23","매우높음","실물(패시브)","0.450000","비과세"
"314700","HANARO 농업융복합산업","2018/12/21","주식-업종섹터-업종테마","엔에이치아문디자산운용","27.54","FnGuide 농업융복합산업 지수(시장가격)","0.95","6467121843","-0.54","높음","실물(패시브)","0.500000","비과세"
"498050","HANARO 바이오코리아액티브","2024/11/26","주식-업종섹터-업종테마","엔에이치아문디자산운용","50.27","iSelect K-바이오헬스케어","11.54","18625532778","-0.52","매우높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"476260","HANARO 반도체핵심공정주도주","2024/02/27","주식-업종섹터-업종테마","엔에이치아문디자산운용","101.29","FnGuide 반도체 핵심공정 지수","0.77","31643929788","0.30","매우높음","실물(패시브)","0.450000","비과세"
"434730","HANARO 원자력iSelect","2022/06/28","주식-업종섹터-업종테마","엔에이치아문디자산운용","252.16","iSelect 원자력지수 (시장가격)","0.57","861976057830","-0.19","매우높음","실물(패시브)","0.450000","비과세"
"491820","HANARO 전력설비투자","2024/09/24","주식-업종섹터-업종테마","엔에이치아문디자산운용","213.66","iSelect 전력설비투자 지수","0.49","121976437303","-0.29","매우높음","실물(패시브)","0.350000","비과세"
"0111J0","HANARO 증권고배당TOP3플러스","2025/10/28","주식-업종섹터-업종테마","엔에이치아문디자산운용","0.00","FnGuide 증권 고배당 TOP3 플러스 지수","1.28","102132717391","0.10","매우높음","실물(패시브)","0.070000","비과세"
"495750","HANARO 코리아밸류업","2024/11/04","주식-시장대표","엔에이치아문디자산운용","157.66","코리아 밸류업 지수","0.58","56893356359","0.14","매우높음","실물(패시브)","0.026000","비과세"
"304770","HANARO 코스닥150","2018/08/14","주식-시장대표","엔에이치아문디자산운용","60.28","코스닥 150","0.25","32401674569","-0.28","매우높음","실물(패시브)","0.200000","비과세"
"375760","HANARO 탄소효율그린뉴딜","2021/02/05","주식-전략-전략테마","엔에이치아문디자산운용","142.29","KRX/S&P 탄소효율 그린뉴딜지수","0.54","18683271262","0.32","매우높음","실물(패시브)","0.200000","비과세"
"491700","HK 200","2024/09/10","주식-시장대표","흥국자산운용","155.11","코스피 200","0.43","76745291100","-0.33","매우높음","실물(패시브)","0.050000","비과세"
"215620","HK S&P코리아로우볼","2015/03/25","주식-전략-변동성","흥국자산운용","35.51","S&P Korea 저변동성 지수","1.37","11400452134","-0.25","보통","실물(패시브)","0.400000","비과세"
"391670","HK 베스트일레븐액티브","2021/07/06","주식-시장대표","흥국자산운용","124.04","코스피 200","13.48","21155047249","-0.60","매우높음","실물(액티브)","0.300000","배당소득세(보유기간과세)"
"472840","ITF 200","2023/12/21","주식-시장대표","아이비케이자산운용","153.40","코스피 200","0.47","26730640529","-0.04","매우높음","실물(패시브)","0.080000","비과세"
"0005G0","ITF K-AI반도체코어테크","2025/01/21","주식-업종섹터-업종테마","아이비케이자산운용","209.33","FnGuide K-AI반도체 코어테크 지수","0.37","65758146799","-0.29","매우높음","실물(패시브)","0.280000","비과세"
"069660","KIWOOM 200","2002/10/14","주식-시장대표","키움투자자산운용","153.26","코스피 200","0.50","621178060735","-0.24","매우높음","실물(패시브)","0.050000","비과세"
"294400","KIWOOM 200TR","2018/04/23","주식-시장대표","키움투자자산운용","159.78","코스피 200 TR","0.31","1691980673324","-0.04","매우높음","실물(패시브)","0.012000","배당소득세(보유기간과세)"
"460280","KIWOOM Fn유전자혁신기술","2023/06/27","주식-업종섹터-헬스케어","키움투자자산운용","51.91","FnGuide 유전자혁신기술 지수(시장가격)","1.44","2156630023","-0.47","매우높음","실물(패시브)","0.400000","비과세"
"488200","KIWOOM K-2차전지북미공급망","2024/07/23","주식-업종섹터-업종테마","키움투자자산운용","102.47","Solactive K-Battery North America Supply Chain 지수","0.39","8118324383","-0.19","매우높음","실물(패시브)","0.490000","비과세"
"488210","KIWOOM K-반도체북미공급망","2024/07/23","주식-업종섹터-업종테마","키움투자자산운용","157.20","Solactive K-Semiconductor North America Supply Chain 지수","0.64","4347672178","0.21","매우높음","실물(패시브)","0.490000","비과세"
"469790","KIWOOM K-테크TOP10","2023/10/31","주식-업종섹터-업종테마","키움투자자산운용","176.94","Solactive K-TechTOP10 Index(PR)","0.39","21010274465","0.25","매우높음","실물(패시브)","0.390000","비과세"
"100910","KIWOOM KRX100","2008/01/23","주식-시장대표","키움투자자산운용","154.06","KRX 100","0.52","29574078379","-0.06","매우높음","실물(패시브)","0.230000","비과세"
"104530","KIWOOM 고배당","2008/07/29","주식-전략-배당","키움투자자산운용","75.12","MKF 웰스 고배당20","1.82","50215917166","0.04","매우높음","실물(패시브)","0.190000","비과세"
"104520","KIWOOM 블루칩","2008/07/29","주식-규모-대형주","키움투자자산운용","66.84","MKF 블루칩","0.65","16145813293","0.08","매우높음","실물(패시브)","0.400000","비과세"
"483020","KIWOOM 의료AI","2024/05/28","주식-업종섹터-업종테마","키움투자자산운용","42.06","FnGuide 의료AI 지수","0.97","9440845150","-0.58","매우높음","실물(패시브)","0.490000","비과세"
"496090","KIWOOM 코리아밸류업","2024/11/04","주식-시장대표","키움투자자산운용","157.73","코리아 밸류업 지수","0.58","112595257559","0.35","매우높음","실물(패시브)","0.009000","비과세"
"316670","KIWOOM 코스닥150","2019/01/22","주식-시장대표","키움투자자산운용","60.97","코스닥 150","0.24","55048077259","-0.34","매우높음","실물(패시브)","0.150000","비과세"
"153270","KIWOOM 코스피100","2012/02/28","주식-시장대표","키움투자자산운용","158.32","코스피 100","0.57","28704750986","-0.03","매우높음","실물(패시브)","0.195000","비과세"
"069500","KODEX 200","2002/10/14","주식-시장대표","삼성자산운용","154.36","코스피 200","0.52","18372326301714","-0.11","매우높음","실물(패시브)","0.150000","비과세"
